Algoritmo,Tiempo (s)
TimSort,0.00043780001578852534
Comb Sort,0.021891100041102618
Selection Sort,0.4299180000089109
Tree Sort,0.007866300002206117
Pigeonhole Sort,0.004460400028619915
Bucket Sort,0.002579200023319572
QuickSort,0.00758139998652041
HeapSort,0.0011291000409983099
Bitonic Sort,0.029254900000523776
Gnome Sort,1.47325360000832
Binary Insertion Sort,0.17689309996785596
RadixSort,0.005772700009401888
