Autor,Frecuencia
Camilo Vieira,8
Pradeep Menon,8
Shuhan Zhang,9
Yi Zhang,9
Gary K. W. Wong,9
Wei Zhang,9
Bin Li,10
Simon Elias Bibri,10
Alexander Repenning,10
László Horváth,10
Imre J. Rudas,11
Gregorio Robles,11
Yingxu Wang,15
Peter J. Denning,19
Matti Tedre,23
